"# Channel 1"
"# Trace 3"
Frequency, Formatted Data, Formatted Data
+3.03750000000E+008, +4.18024125601E-002, +0.00000000000E+000
+3.04375000000E+008, +4.12980664798E-002, +0.00000000000E+000
+3.05000000000E+008, +4.10472781110E-002, +0.00000000000E+000
+3.05625000000E+008, +4.18576508007E-002, +0.00000000000E+000
+3.06250000000E+008, +4.17022709794E-002, +0.00000000000E+000
+3.06875000000E+008, +4.14793474952E-002, +0.00000000000E+000
+3.07500000000E+008, +4.15946855086E-002, +0.00000000000E+000
+3.08125000000E+008, +4.33437621528E-002, +0.00000000000E+000
+3.08750000000E+008, +4.16975832237E-002, +0.00000000000E+000
+3.09375000000E+008, +4.22905835780E-002, +0.00000000000E+000
+3.10000000000E+008, +4.27158211801E-002, +0.00000000000E+000
+3.10625000000E+008, +4.18885441762E-002, +0.00000000000E+000
+3.11250000000E+008, +4.25481534376E-002, +0.00000000000E+000
+3.11875000000E+008, +4.23819653649E-002, +0.00000000000E+000
+3.12500000000E+008, +4.44951483143E-002, +0.00000000000E+000
+3.13125000000E+008, +4.14841423464E-002, +0.00000000000E+000
+3.13750000000E+008, +4.22594446445E-002, +0.00000000000E+000
+3.14375000000E+008, +4.19826752663E-002, +0.00000000000E+000
+3.15000000000E+008, +4.33283080765E-002, +0.00000000000E+000
+3.15625000000E+008, +4.40526284789E-002, +0.00000000000E+000
+3.16250000000E+008, +4.34693342026E-002, +0.00000000000E+000
+3.16875000000E+008, +4.38026971578E-002, +0.00000000000E+000
+3.17500000000E+008, +4.22033207808E-002, +0.00000000000E+000
+3.18125000000E+008, +4.17787599725E-002, +0.00000000000E+000
+3.18750000000E+008, +4.21352290914E-002, +0.00000000000E+000
+3.19375000000E+008, +4.31127528022E-002, +0.00000000000E+000
+3.20000000000E+008, +4.41622521440E-002, +0.00000000000E+000
+3.20625000000E+008, +4.51073294341E-002, +0.00000000000E+000
+3.21250000000E+008, +4.45239301447E-002, +0.00000000000E+000
+3.21875000000E+008, +4.18900293923E-002, +0.00000000000E+000
+3.22500000000E+008, +4.36564285994E-002, +0.00000000000E+000
+3.23125000000E+008, +4.47308631963E-002, +0.00000000000E+000
+3.23750000000E+008, +4.22045545294E-002, +0.00000000000E+000
+3.24375000000E+008, +4.36078752364E-002, +0.00000000000E+000
+3.25000000000E+008, +4.55080636861E-002, +0.00000000000E+000
+3.25625000000E+008, +4.24518385321E-002, +0.00000000000E+000
+3.26250000000E+008, +4.49301468616E-002, +0.00000000000E+000
+3.26875000000E+008, +4.27409612017E-002, +0.00000000000E+000
+3.27500000000E+008, +4.30152051429E-002, +0.00000000000E+000
+3.28125000000E+008, +4.21270992495E-002, +0.00000000000E+000
+3.28750000000E+008, +4.75748592050E-002, +0.00000000000E+000
+3.29375000000E+008, +4.54259948639E-002, +0.00000000000E+000
+3.30000000000E+008, +4.57056137744E-002, +0.00000000000E+000
+3.30625000000E+008, +4.58150504094E-002, +0.00000000000E+000
+3.31250000000E+008, +4.37739757830E-002, +0.00000000000E+000
+3.31875000000E+008, +4.51645574343E-002, +0.00000000000E+000
+3.32500000000E+008, +4.43105493288E-002, +0.00000000000E+000
+3.33125000000E+008, +4.39481241063E-002, +0.00000000000E+000
+3.33750000000E+008, +4.47065336193E-002, +0.00000000000E+000
+3.34375000000E+008, +4.48839434301E-002, +0.00000000000E+000
+3.35000000000E+008, +4.54375621882E-002, +0.00000000000E+000
+3.35625000000E+008, +4.50770446395E-002, +0.00000000000E+000
+3.36250000000E+008, +4.59268037055E-002, +0.00000000000E+000
+3.36875000000E+008, +4.45295960937E-002, +0.00000000000E+000
+3.37500000000E+008, +4.53157633283E-002, +0.00000000000E+000
+3.38125000000E+008, +4.59222008902E-002, +0.00000000000E+000
+3.38750000000E+008, +4.63336673559E-002, +0.00000000000E+000
+3.39375000000E+008, +4.54689340161E-002, +0.00000000000E+000
+3.40000000000E+008, +4.55572295414E-002, +0.00000000000E+000
+3.40625000000E+008, +4.89066994176E-002, +0.00000000000E+000
+3.41250000000E+008, +4.67709675540E-002, +0.00000000000E+000
+3.41875000000E+008, +4.51284269410E-002, +0.00000000000E+000
+3.42500000000E+008, +4.78450051915E-002, +0.00000000000E+000
+3.43125000000E+008, +4.77747549992E-002, +0.00000000000E+000
+3.43750000000E+008, +4.42265683933E-002, +0.00000000000E+000
+3.44375000000E+008, +4.55448161596E-002, +0.00000000000E+000
+3.45000000000E+008, +4.89048554717E-002, +0.00000000000E+000
+3.45625000000E+008, +4.66026010519E-002, +0.00000000000E+000
+3.46250000000E+008, +4.80787569057E-002, +0.00000000000E+000
+3.46875000000E+008, +4.79382496863E-002, +0.00000000000E+000
+3.47500000000E+008, +4.51789048990E-002, +0.00000000000E+000
+3.48125000000E+008, +4.65880315108E-002, +0.00000000000E+000
+3.48750000000E+008, +4.46488017173E-002, +0.00000000000E+000
+3.49375000000E+008, +4.91356085436E-002, +0.00000000000E+000
+3.50000000000E+008, +4.63560829550E-002, +0.00000000000E+000
+3.50625000000E+008, +4.56817490330E-002, +0.00000000000E+000
+3.51250000000E+008, +4.77765945092E-002, +0.00000000000E+000
+3.51875000000E+008, +4.67943993339E-002, +0.00000000000E+000
+3.52500000000E+008, +5.09448928780E-002, +0.00000000000E+000
+3.53125000000E+008, +4.62245809928E-002, +0.00000000000E+000
+3.53750000000E+008, +4.81416496406E-002, +0.00000000000E+000
+3.54375000000E+008, +5.06305511284E-002, +0.00000000000E+000
+3.55000000000E+008, +4.83032627433E-002, +0.00000000000E+000
+3.55625000000E+008, +4.97352388286E-002, +0.00000000000E+000
+3.56250000000E+008, +4.85372655753E-002, +0.00000000000E+000
+3.56875000000E+008, +5.01716486567E-002, +0.00000000000E+000
+3.57500000000E+008, +5.17458746864E-002, +0.00000000000E+000
+3.58125000000E+008, +4.87111878764E-002, +0.00000000000E+000
+3.58750000000E+008, +4.89488800359E-002, +0.00000000000E+000
+3.59375000000E+008, +5.01802074907E-002, +0.00000000000E+000
+3.60000000000E+008, +5.12199641897E-002, +0.00000000000E+000
+3.60625000000E+008, +4.76730285649E-002, +0.00000000000E+000
+3.61250000000E+008, +4.83340622183E-002, +0.00000000000E+000
+3.61875000000E+008, +5.07784671996E-002, +0.00000000000E+000
+3.62500000000E+008, +5.07288164584E-002, +0.00000000000E+000
+3.63125000000E+008, +5.03458380448E-002, +0.00000000000E+000
+3.63750000000E+008, +4.97743154702E-002, +0.00000000000E+000
+3.64375000000E+008, +4.99248936696E-002, +0.00000000000E+000
+3.65000000000E+008, +5.00448197319E-002, +0.00000000000E+000
+3.65625000000E+008, +5.15292532453E-002, +0.00000000000E+000
+3.66250000000E+008, +5.03092705147E-002, +0.00000000000E+000
+3.66875000000E+008, +5.01732174593E-002, +0.00000000000E+000
+3.67500000000E+008, +5.14410207305E-002, +0.00000000000E+000
+3.68125000000E+008, +5.18143560271E-002, +0.00000000000E+000
+3.68750000000E+008, +5.02989717876E-002, +0.00000000000E+000
+3.69375000000E+008, +5.08728974693E-002, +0.00000000000E+000
+3.70000000000E+008, +5.16553930684E-002, +0.00000000000E+000
+3.70625000000E+008, +5.05747481462E-002, +0.00000000000E+000
+3.71250000000E+008, +4.98263944725E-002, +0.00000000000E+000
+3.71875000000E+008, +5.19663951937E-002, +0.00000000000E+000
+3.72500000000E+008, +5.32865898371E-002, +0.00000000000E+000
+3.73125000000E+008, +5.06374889780E-002, +0.00000000000E+000
+3.73750000000E+008, +5.25370638913E-002, +0.00000000000E+000
+3.74375000000E+008, +5.29986222682E-002, +0.00000000000E+000
+3.75000000000E+008, +5.13071039303E-002, +0.00000000000E+000
+3.75625000000E+008, +5.36644001344E-002, +0.00000000000E+000
+3.76250000000E+008, +5.30934270224E-002, +0.00000000000E+000
+3.76875000000E+008, +5.31232987857E-002, +0.00000000000E+000
+3.77500000000E+008, +5.36397792951E-002, +0.00000000000E+000
+3.78125000000E+008, +5.17515726996E-002, +0.00000000000E+000
+3.78750000000E+008, +5.23234010785E-002, +0.00000000000E+000
+3.79375000000E+008, +5.34153763462E-002, +0.00000000000E+000
+3.80000000000E+008, +5.19921575686E-002, +0.00000000000E+000
+3.80625000000E+008, +5.25833473915E-002, +0.00000000000E+000
+3.81250000000E+008, +5.51179355457E-002, +0.00000000000E+000
+3.81875000000E+008, +5.26861319691E-002, +0.00000000000E+000
+3.82500000000E+008, +5.52771261014E-002, +0.00000000000E+000
+3.83125000000E+008, +5.37419387831E-002, +0.00000000000E+000
+3.83750000000E+008, +5.49723617350E-002, +0.00000000000E+000
+3.84375000000E+008, +5.34103419268E-002, +0.00000000000E+000
+3.85000000000E+008, +5.61776641301E-002, +0.00000000000E+000
+3.85625000000E+008, +5.59598659234E-002, +0.00000000000E+000
+3.86250000000E+008, +5.67016618682E-002, +0.00000000000E+000
+3.86875000000E+008, +5.39284555118E-002, +0.00000000000E+000
+3.87500000000E+008, +5.52521670884E-002, +0.00000000000E+000
+3.88125000000E+008, +5.49387202864E-002, +0.00000000000E+000
+3.88750000000E+008, +5.71988138124E-002, +0.00000000000E+000
+3.89375000000E+008, +5.43202689135E-002, +0.00000000000E+000
+3.90000000000E+008, +5.52886453699E-002, +0.00000000000E+000
+3.90625000000E+008, +5.48658291593E-002, +0.00000000000E+000
+3.91250000000E+008, +5.35395318286E-002, +0.00000000000E+000
+3.91875000000E+008, +5.58922116979E-002, +0.00000000000E+000
+3.92500000000E+008, +5.73325103405E-002, +0.00000000000E+000
+3.93125000000E+008, +5.50771354293E-002, +0.00000000000E+000
+3.93750000000E+008, +5.47248489026E-002, +0.00000000000E+000
+3.94375000000E+008, +5.38034533015E-002, +0.00000000000E+000
+3.95000000000E+008, +5.53286337630E-002, +0.00000000000E+000
+3.95625000000E+008, +5.42073532354E-002, +0.00000000000E+000
+3.96250000000E+008, +5.43662373369E-002, +0.00000000000E+000
+3.96875000000E+008, +5.59600697689E-002, +0.00000000000E+000
+3.97500000000E+008, +5.64019250400E-002, +0.00000000000E+000
+3.98125000000E+008, +5.51033451418E-002, +0.00000000000E+000
+3.98750000000E+008, +5.59239111582E-002, +0.00000000000E+000
+3.99375000000E+008, +5.70651113379E-002, +0.00000000000E+000
+4.00000000000E+008, +5.83458160257E-002, +0.00000000000E+000
+4.00625000000E+008, +5.70698183155E-002, +0.00000000000E+000
+4.01250000000E+008, +5.80924660187E-002, +0.00000000000E+000
+4.01875000000E+008, +5.45332183563E-002, +0.00000000000E+000
+4.02500000000E+008, +5.63802415901E-002, +0.00000000000E+000
+4.03125000000E+008, +5.60066148200E-002, +0.00000000000E+000
+4.03750000000E+008, +5.54334313012E-002, +0.00000000000E+000
+4.04375000000E+008, +5.86882920696E-002, +0.00000000000E+000
+4.05000000000E+008, +5.55356477126E-002, +0.00000000000E+000
+4.05625000000E+008, +6.05548787206E-002, +0.00000000000E+000
+4.06250000000E+008, +5.80571553358E-002, +0.00000000000E+000
+4.06875000000E+008, +5.68787789574E-002, +0.00000000000E+000
+4.07500000000E+008, +5.67694624966E-002, +0.00000000000E+000
+4.08125000000E+008, +5.82816965626E-002, +0.00000000000E+000
+4.08750000000E+008, +5.58621809046E-002, +0.00000000000E+000
+4.09375000000E+008, +5.61199983939E-002, +0.00000000000E+000
+4.10000000000E+008, +5.92143595857E-002, +0.00000000000E+000
+4.10625000000E+008, +5.94029765616E-002, +0.00000000000E+000
+4.11250000000E+008, +5.96197449256E-002, +0.00000000000E+000
+4.11875000000E+008, +5.87873114876E-002, +0.00000000000E+000
+4.12500000000E+008, +5.95465377255E-002, +0.00000000000E+000
+4.13125000000E+008, +5.72625344694E-002, +0.00000000000E+000
+4.13750000000E+008, +5.90639085156E-002, +0.00000000000E+000
+4.14375000000E+008, +5.78126462730E-002, +0.00000000000E+000
+4.15000000000E+008, +5.88041330279E-002, +0.00000000000E+000
+4.15625000000E+008, +5.58365958465E-002, +0.00000000000E+000
+4.16250000000E+008, +5.95306669663E-002, +0.00000000000E+000
+4.16875000000E+008, +5.78294184105E-002, +0.00000000000E+000
+4.17500000000E+008, +5.97287157733E-002, +0.00000000000E+000
+4.18125000000E+008, +5.99359650543E-002, +0.00000000000E+000
+4.18750000000E+008, +5.71071746646E-002, +0.00000000000E+000
+4.19375000000E+008, +5.91422774111E-002, +0.00000000000E+000
+4.20000000000E+008, +5.90568011784E-002, +0.00000000000E+000
+4.20625000000E+008, +6.01430146627E-002, +0.00000000000E+000
+4.21250000000E+008, +6.03401897432E-002, +0.00000000000E+000
+4.21875000000E+008, +5.85939451742E-002, +0.00000000000E+000
+4.22500000000E+008, +6.11242826496E-002, +0.00000000000E+000
+4.23125000000E+008, +5.68267887606E-002, +0.00000000000E+000
+4.23750000000E+008, +6.14452586658E-002, +0.00000000000E+000
+4.24375000000E+008, +5.96524119357E-002, +0.00000000000E+000
+4.25000000000E+008, +6.14056229059E-002, +0.00000000000E+000
+4.25625000000E+008, +6.05228859402E-002, +0.00000000000E+000
+4.26250000000E+008, +5.98151935739E-002, +0.00000000000E+000
+4.26875000000E+008, +6.31449999261E-002, +0.00000000000E+000
+4.27500000000E+008, +6.01499853517E-002, +0.00000000000E+000
+4.28125000000E+008, +5.88105286924E-002, +0.00000000000E+000
+4.28750000000E+008, +6.13951764658E-002, +0.00000000000E+000
+4.29375000000E+008, +5.78489207262E-002, +0.00000000000E+000
+4.30000000000E+008, +6.17382373125E-002, +0.00000000000E+000
+4.30625000000E+008, +6.14776398712E-002, +0.00000000000E+000
+4.31250000000E+008, +5.92357381777E-002, +0.00000000000E+000
+4.31875000000E+008, +6.28231217797E-002, +0.00000000000E+000
+4.32500000000E+008, +6.16332892601E-002, +0.00000000000E+000
+4.33125000000E+008, +6.15603665147E-002, +0.00000000000E+000
+4.33750000000E+008, +6.15221702897E-002, +0.00000000000E+000
+4.34375000000E+008, +6.16604855445E-002, +0.00000000000E+000
+4.35000000000E+008, +6.28210134928E-002, +0.00000000000E+000
+4.35625000000E+008, +6.08379083503E-002, +0.00000000000E+000
+4.36250000000E+008, +6.24749212232E-002, +0.00000000000E+000
+4.36875000000E+008, +6.18142103685E-002, +0.00000000000E+000
+4.37500000000E+008, +6.02562391028E-002, +0.00000000000E+000
+4.38125000000E+008, +6.18699889311E-002, +0.00000000000E+000
+4.38750000000E+008, +6.12546308039E-002, +0.00000000000E+000
+4.39375000000E+008, +6.01874065986E-002, +0.00000000000E+000
+4.40000000000E+008, +6.35626053726E-002, +0.00000000000E+000
+4.40625000000E+008, +6.13912103314E-002, +0.00000000000E+000
+4.41250000000E+008, +6.15764562941E-002, +0.00000000000E+000
+4.41875000000E+008, +6.13463189271E-002, +0.00000000000E+000
+4.42500000000E+008, +6.17898515382E-002, +0.00000000000E+000
+4.43125000000E+008, +6.53038697459E-002, +0.00000000000E+000
+4.43750000000E+008, +6.32392679012E-002, +0.00000000000E+000
+4.44375000000E+008, +6.14648456568E-002, +0.00000000000E+000
+4.45000000000E+008, +6.24438449589E-002, +0.00000000000E+000
+4.45625000000E+008, +6.40117103916E-002, +0.00000000000E+000
+4.46250000000E+008, +6.28418895459E-002, +0.00000000000E+000
+4.46875000000E+008, +6.21534342351E-002, +0.00000000000E+000
+4.47500000000E+008, +6.03795684034E-002, +0.00000000000E+000
+4.48125000000E+008, +6.06360049678E-002, +0.00000000000E+000
+4.48750000000E+008, +6.30950049799E-002, +0.00000000000E+000
+4.49375000000E+008, +6.45291926113E-002, +0.00000000000E+000
+4.50000000000E+008, +6.36849914127E-002, +0.00000000000E+000
+4.50625000000E+008, +6.50797341966E-002, +0.00000000000E+000
+4.51250000000E+008, +6.20528557633E-002, +0.00000000000E+000
+4.51875000000E+008, +6.29737161840E-002, +0.00000000000E+000
+4.52500000000E+008, +6.39029185231E-002, +0.00000000000E+000
+4.53125000000E+008, +6.44320891325E-002, +0.00000000000E+000
+4.53750000000E+008, +6.30677949525E-002, +0.00000000000E+000
+4.54375000000E+008, +6.53376263192E-002, +0.00000000000E+000
+4.55000000000E+008, +6.26846581089E-002, +0.00000000000E+000
+4.55625000000E+008, +6.45758942940E-002, +0.00000000000E+000
+4.56250000000E+008, +6.26955236082E-002, +0.00000000000E+000
+4.56875000000E+008, +6.34007758839E-002, +0.00000000000E+000
+4.57500000000E+008, +6.52200507703E-002, +0.00000000000E+000
+4.58125000000E+008, +6.63895834777E-002, +0.00000000000E+000
+4.58750000000E+008, +6.41291861620E-002, +0.00000000000E+000
+4.59375000000E+008, +6.53564899941E-002, +0.00000000000E+000
+4.60000000000E+008, +6.38315466382E-002, +0.00000000000E+000
+4.60625000000E+008, +6.75933714102E-002, +0.00000000000E+000
+4.61250000000E+008, +6.50097603201E-002, +0.00000000000E+000
+4.61875000000E+008, +6.61319125733E-002, +0.00000000000E+000
+4.62500000000E+008, +6.63656209861E-002, +0.00000000000E+000
+4.63125000000E+008, +6.64610076610E-002, +0.00000000000E+000
+4.63750000000E+008, +6.58853088775E-002, +0.00000000000E+000
+4.64375000000E+008, +6.40803694878E-002, +0.00000000000E+000
+4.65000000000E+008, +6.61309344148E-002, +0.00000000000E+000
+4.65625000000E+008, +6.66216039804E-002, +0.00000000000E+000
+4.66250000000E+008, +6.43245483098E-002, +0.00000000000E+000
+4.66875000000E+008, +6.53004688264E-002, +0.00000000000E+000
+4.67500000000E+008, +6.83343650338E-002, +0.00000000000E+000
+4.68125000000E+008, +6.55574964378E-002, +0.00000000000E+000
+4.68750000000E+008, +6.74640305267E-002, +0.00000000000E+000
+4.69375000000E+008, +6.63126670996E-002, +0.00000000000E+000
+4.70000000000E+008, +6.76609043885E-002, +0.00000000000E+000
+4.70625000000E+008, +6.64187609794E-002, +0.00000000000E+000
+4.71250000000E+008, +6.51823399202E-002, +0.00000000000E+000
+4.71875000000E+008, +6.84918061087E-002, +0.00000000000E+000
+4.72500000000E+008, +6.66654756712E-002, +0.00000000000E+000
+4.73125000000E+008, +6.54977820630E-002, +0.00000000000E+000
+4.73750000000E+008, +6.89526300107E-002, +0.00000000000E+000
+4.74375000000E+008, +6.84057365547E-002, +0.00000000000E+000
+4.75000000000E+008, +6.63017071840E-002, +0.00000000000E+000
+4.75625000000E+008, +6.67897836533E-002, +0.00000000000E+000
+4.76250000000E+008, +6.75759217127E-002, +0.00000000000E+000
+4.76875000000E+008, +6.80322633368E-002, +0.00000000000E+000
+4.77500000000E+008, +6.61397128285E-002, +0.00000000000E+000
+4.78125000000E+008, +6.76656535363E-002, +0.00000000000E+000
+4.78750000000E+008, +6.91100300998E-002, +0.00000000000E+000
+4.79375000000E+008, +7.03897340730E-002, +0.00000000000E+000
+4.80000000000E+008, +6.79393888018E-002, +0.00000000000E+000
+4.80625000000E+008, +6.75647726321E-002, +0.00000000000E+000
+4.81250000000E+008, +7.15359562914E-002, +0.00000000000E+000
+4.81875000000E+008, +6.92162632836E-002, +0.00000000000E+000
+4.82500000000E+008, +6.88188903928E-002, +0.00000000000E+000
+4.83125000000E+008, +6.71140111193E-002, +0.00000000000E+000
+4.83750000000E+008, +7.01777847067E-002, +0.00000000000E+000
+4.84375000000E+008, +6.96104781829E-002, +0.00000000000E+000
+4.85000000000E+008, +6.99300414858E-002, +0.00000000000E+000
+4.85625000000E+008, +6.70555401523E-002, +0.00000000000E+000
+4.86250000000E+008, +6.85549023573E-002, +0.00000000000E+000
+4.86875000000E+008, +6.96607726957E-002, +0.00000000000E+000
+4.87500000000E+008, +6.89590054966E-002, +0.00000000000E+000
+4.88125000000E+008, +6.99667415473E-002, +0.00000000000E+000
+4.88750000000E+008, +7.07956819853E-002, +0.00000000000E+000
+4.89375000000E+008, +7.29874601012E-002, +0.00000000000E+000
+4.90000000000E+008, +7.16408098707E-002, +0.00000000000E+000
+4.90625000000E+008, +7.14912254213E-002, +0.00000000000E+000
+4.91250000000E+008, +7.09172572696E-002, +0.00000000000E+000
+4.91875000000E+008, +7.27811279847E-002, +0.00000000000E+000
+4.92500000000E+008, +6.96560494551E-002, +0.00000000000E+000
+4.93125000000E+008, +6.96924523012E-002, +0.00000000000E+000
+4.93750000000E+008, +7.30979236596E-002, +0.00000000000E+000
+4.94375000000E+008, +7.13778258744E-002, +0.00000000000E+000
+4.95000000000E+008, +7.18017880662E-002, +0.00000000000E+000
+4.95625000000E+008, +7.13955746999E-002, +0.00000000000E+000
+4.96250000000E+008, +7.24972740757E-002, +0.00000000000E+000
+4.96875000000E+008, +7.26097082961E-002, +0.00000000000E+000
+4.97500000000E+008, +7.20007722797E-002, +0.00000000000E+000
+4.98125000000E+008, +7.19201733951E-002, +0.00000000000E+000
+4.98750000000E+008, +7.43699944598E-002, +0.00000000000E+000
+4.99375000000E+008, +7.30279977333E-002, +0.00000000000E+000
+5.00000000000E+008, +7.32198268252E-002, +0.00000000000E+000
+5.00625000000E+008, +6.94254111081E-002, +0.00000000000E+000
+5.01250000000E+008, +7.15689686783E-002, +0.00000000000E+000
+5.01875000000E+008, +7.12901151300E-002, +0.00000000000E+000
+5.02500000000E+008, +7.44558462818E-002, +0.00000000000E+000
+5.03125000000E+008, +7.30607854431E-002, +0.00000000000E+000
+5.03750000000E+008, +7.09587003656E-002, +0.00000000000E+000
+5.04375000000E+008, +7.21019335731E-002, +0.00000000000E+000
+5.05000000000E+008, +7.22475402322E-002, +0.00000000000E+000
+5.05625000000E+008, +7.29355973713E-002, +0.00000000000E+000
+5.06250000000E+008, +7.13091857975E-002, +0.00000000000E+000
+5.06875000000E+008, +7.20741432732E-002, +0.00000000000E+000
+5.07500000000E+008, +7.47835681061E-002, +0.00000000000E+000
+5.08125000000E+008, +7.36336028317E-002, +0.00000000000E+000
+5.08750000000E+008, +7.48316718609E-002, +0.00000000000E+000
+5.09375000000E+008, +7.20248012851E-002, +0.00000000000E+000
+5.10000000000E+008, +7.34757985688E-002, +0.00000000000E+000
+5.10625000000E+008, +7.55510483929E-002, +0.00000000000E+000
+5.11250000000E+008, +7.18494130200E-002, +0.00000000000E+000
+5.11875000000E+008, +7.48522533372E-002, +0.00000000000E+000
+5.12500000000E+008, +7.49112516439E-002, +0.00000000000E+000
+5.13125000000E+008, +7.44477217658E-002, +0.00000000000E+000
